author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity
Блаже Конески,ЈАГЛЕН,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Негативна емоција
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Од маглите срцето,"Од маглите срцето

Сум изгубен, слика без рам,
Фрагмент што трепка во сегашен час.
Песната моја - тивок вик,
Отворена рана што боли сега.

Дури небото ми се насмева,
Во мене е само тишина пепелна.
Веќе нема да гледам во твоите очи,
Сенката на минатото ме души.

Срцето ми мрачно ковчег стана,
Заробено во времето што однесе сè.
Нема да те чујам, нема да те допрам,
Ова е крај на приказната за двајца нас.

Над мене се вијат мрачни сени,
Сама ноќ ме гута во своите залци.
Сега сум тука, сам, без никого,
Оставен на милост на тишината.

Ете, толку крај, толку од срце во реч,
Сега само тивко песна да пееше.",658,320,978,4612,36.03833770751953
Блаже Конески,ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Морализирање
Зборови за комуникација
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сенки на претходното,"Сенки на претходното

Сум во тишина што ме обзема,
Песна неизречена што ми ја одзема.
Веќе сум ја заборавил, а таа пак се враќа,
Сега ме напаѓа, дури и пак ме стаќа.

Нема да ја пеам оваа песна што сум ја изгубил,
Дури и срцето ми за неа дури е стуpил.
Мене самиот себеси сега ме гледам,
Сè онаму каде што одам, сенки ме следат.

Уште од давнина сум паднал во тага,
Сега ја носам како товар, никаде не ја остава.
Во мракот на минатото грешки повторувам,
Сумрачното време веке не ме прекинува.",893,274,1167,3804,38.4078483581543
Блаже Конески,ШУМ,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Последна песна,"Последна песна

Сум дел од тага што сега
се е веќе
не мое ни твое,
тагата ми куца на срце.

Зборовите се темни, 
во мракот се губат,
но јас те слушам, твојот глас,
како звук од минатото.

Во сенките на споменот
твоите очи ме бодрат,
сега кога сè е изгубено,
твојата грижа ја чувствувам.

Зошто мене, 
зошто ти,
зошто нè остави сама,
во тага и болка заробена?

Сумот брише, 
животот одминува,
а јас седам тука
со солзи во очите.

Оваа последна песна
за тебе пишувам,
во неа сите мои емоции 
ги нашле свој припев.",933,279,1212,3596,38.243106842041016
Блаже Конески,НА ГРАНИЦА,"Фигуративен јазик
Активен глас
Машки заменки
Антисоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Индикатори за моќ
Увид
Негативна емоција
Лутинa
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со ризик
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи",Потрага за срцето,"Потрага за срцето

Во себе скриен, сум те барал долго,
низ егото и маглата на син,
низ бури од гнев и тага самотна
се лутев и бев тажен, без знак.

Сега пред мене ти стоиш толку близу,
а срцето мое јас го немам,
не гледам друго туку амбис од празнина,
што никнува од мојата самотија.

Нема да се предадам во борбата,
ќе продолжам да пребарувам секогаш,
ќе ја искорнам таа болка од моето битие
и со песна ќе ѝ се спротивставам.

Јас верувам дека во некој дал скриено,
таму сè уште чека моето срце,
па макар и да дојде по мене преголема цена,
ќе го најдам и ќе му се вратам пак.",998,296,1294,4200,52.004817962646484
Блаже Конески,ПОЛНОЌ,"Фигуративен јазик
Активен глас
Женски заменки
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Песна за моето срце,"Песна за моето срце

Ја сакам Тебе, моја сестро,
Што со погледот ме следиш.
Твоето срце чува тајни,
Што само Ти ги знаеш.

Тече времето, неумолливо,
Но Ти си секогаш тука,
Пролетно цвеќе во преминот,
Што никогаш не вехне.

Иако можам да те гледам,
Не ја сфаќам Твојата душа.
Остануваш тајна за мене,
Што во мракот се вкрстува.

Сакам да ја разберам песната,
Што ја шепотиш во саморечта.
Да допрам до Твоето срце,
Што копнее за вечен мир.

Колку пати сакав да те фатам,
Да не одбегнуваш од мене.
Да ти видам го вечниот одраз,
Што го влечеш од мртвите времиња.

Сега, пак, те гледам како станува,
Исчезнувајќи во вечниот мрак.
Дури и Твојот одраз ме напушта,
Оставајќи ме сам во сенка.

Ти си жена, што не те разбирам,
Што остануваш таинствена за мене.
Сè додека срцето не престане да чука,
Ќе ја барам Твојата душа.",832,456,1288,5956,18.419940948486328
Блаже Конески,ВРАЌАЊЕ,"Фигуративен јазик
Активен глас
Машки заменки
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат мажи
Интерпункциски симболи",Песна за изгубената младост,"Песна за изгубената младост

Сега сум самотен, со изгубен јас,
Што некогаш беше, не може да се врати.
Во сенките се топи моето срце,
Оставајќи ме во тага и глуви болки.

Годините ме гонат, а јас сум зинал,
Сè уште слушам тие познати звуци,
Што некогаш ми ја правеа душата жива,
Сенките на минатото сега ме мамат.

Погледот ми скита, но веќе не гледа,
Она што некогаш ми беше милина.
Дури и домот, што некогаш ми беше топол,
Сега ме вџашува со студ и самотија.

Ноќите се долги, а дните се кратки,
Сè што ми е пред очи го гледам расипано.
Не остана ништо од она што беше,
Освен празнина што ја осетувам дома.

Сега веќе само песна ми останува,
Тажна и натежната, како мојата судбина.
Секој ден ме потсетува на она што ми недостига,
На младоста што ја никогаш нема да ја вратам.",979,392,1371,5457,24.489784240722656
Блаже Конески,Љубовница,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Машки заменки
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со смрт
Сексуална содржина
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Небесна судбина,"Небесна судбина

Сум сам во ова темно време,
сам со мислите што ме спречуваат.
Немам песна која ќе ме спаси,
немам зборови што ќе ме одржат.

Сега се обидувам да се борам,
сега пак се предавам, без сили.
Среде овој океан без крај,
тажно го влечам својот век.

Срцето ми вее како лист,
како птица што е заробена.
Дали ова е судбината моја?
Да живеам во темнина, без светлина?

Мислите ме плашат, немам осврт,
едвај го гледам патот напред.
Не знам каде води овој пат,
дали кон среќа или кон пропаст.

Но сакам да се бијам, уште не се предавам,
ќе го допрам небото, ќе ја најдам својата намера.
Можеби ова е мојот момент,
да го пронајдам смислот на постоење.",967,332,1299,4778,27.161972045898438
Блаже Конески,ЖРТВА,"Фигуративен јазик
Активен глас
Просоцијално однесување
Зборови за комуникација
Неутрален тон
Зборови поврзани со смрт
Интерпункциски симболи",Песна за умирањето,"Песна за умирањето

Сум таа што пее, а сега веќе нема,
Овде стоев, но сега сум отишла.
Во дланките срцето ми веќе нема,
Само празнина и тишина ми остана.

Пејам ја песната на животот сега пак,
Но дури и таа нема да трае долго.
Сè што им дадов, сега ми се враќа назад,
Ништо не останува, ништо што ќе живее долго.

Сега пак ја чувствувам таа нежна рака,
Што ме носеше, кога уште бев жива.
Mоето срце веќе не чука, нема веќе да плака,
Само спокојот ми останува, таа тишина да ја чува.

Ни сега, дури ни сега нема да престанам да пеам,
Ова е мојот последен чекор што ќе го направам.
Сè што ми беше во животот, сега тука го предавам,
И со тоа мирно ја затворам таа песна што ја создадов.",617,355,972,4463,21.721569061279297
Блаже Конески,Миг,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Блескави Моменти,"Блескави Моменти

Сум еден поет со срце што пее,
Во стихови своите чувства ги облее.
Веќе долго време пишувам песни,
Нема да застанам, уште пак ќе се вдлабочам во нив.

Сега, во овие блескави моменти,
Кога духот ми е слободен и искрен,
Допирам ги длабините на емоциите,
Преточувајќи ги во збор што ги живее.

Во тишината на душата моја,
Наоѓам оази на инспирација,
Каде цветаат зборовите кои ме водат,
Кон нови светови, што чекаат да бидат открieni.

Пак ќе ја пеам оваа песна,
Таа ми е како срце што не престанува да чука.
Дури и кога ќе ја завршам оваа,
Нови ќе ме чекаат, ми веруваш ли?",844,321,1165,4960,35.36638259887695
Блаже Конески,СПОМЕН ЗА СЛАВЕЈ,"Фигуративен јазик
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Се стопува времето,"Се стопува времето

Сум песна што ѕвони низ времето,
оставам трага во секој момент.
Веќе пак сум тука, во овој миг,
нема да замрам, ниту ќе запрам.

Ниту една љубов не ме ограничи,
ниту една болка не ме заробица.
Слободно се движам, ширам крила,
дури и во стравот да се криев.

Сега пак сум овде, во ова време,
да ја раскажам приказната своја.
Ќе пишам, ќе пеам, ќе збором одам,
бидејќи мојата душа никогаш не умира.

Ти, мое срце, биди сведок на ова,
на мојот вечен живот во спомените.
Никогаш не застанувам, ниту пак запирам,
јас сум вечен одек, вечна песна.",927,304,1231,4951,35.49732208251953
Блаже Конески,РЕКИ,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Зборови за комуникација
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Дар,"Дар

Сум песна, веќе сум во твојот длабок слух,
сега пак се раѓам од твоите гради.
Срцето ми чука, преку твоето дишам,
без тебе нема, во тишината скрв лежи.

Дури и небото ме слуша, ги следи моите украшени зборови,
мојата мелодија што бања души во радост.
Со твојот поглед го фаќам времето, минатото и идното,
и кога ќе прогледам, во твоите очи се потопувам.

Ќе издишам и ќе исчезнам, во апсолутот на вечноста,
но ќе останам во твојата меморија, жива во твојата песна.",861,251,1112,3118,33.375118255615234
Блаже Конески,Ризница,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Тага
Негативен тон
Зборови поврзани со смрт
Зборови фокусирани на минатото
Интерпункциски симболи",Сенка во ноќта,"Сенка во ноќта

Сум мермерно срце, што плаче во ноќта,
Што врескот на песна во мрак го раскрива.
Веќе сум ја испил горчината на ова дење,
Сега срцето ми тага неутешна скрива.

Нема да летам пак, нема да јаснам во свет,
Дури и небото ми се чини сива завеса.
Сум само еден стих од минатото сплотен,
Што уште еднаш се раѓа во сурова болка печена.

Дури и солзите моји сè потешко капат,
Оставајќи ожег на душата изгубена.
Зар навистина сè е уште пак ништо, празнина?
Зар оваа тивка сенка ме нема откупено?",804,274,1078,5280,57.58349609375
Блаже Конески,СОН,"Фигуративен јазик
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Позитивна емоција
Позитивен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Твојот глас,"Твојот глас

Во твојот глас се крие поезија,
Мек и топол, полн со хармонија.
Ме зграпчи со сликите живи,
Со зборовите што ме оживи.

Ти ме водиш во светот на чудото,
Каде што сè е исполнето со надежта.
Твоите зборови ја будат душата,
Со своите нијанси околу мене плетат магија.

Зборувај, ти што ја познаваш тајната,
На вечната песна што во срцето лежи.
Пеј ми, пеј ми, песна за животот,
Заплени ме со твојата поезија.

Зашто во твојот глас има повеќе од зборови,
Има сокриена љубов, надеж и доброта.
Твојот глас ме води кон светла дамка,
Каде што цвета вечна убавина.",982,306,1288,4188,22.18037986755371
Блаже Конески,ЗА НЕПОЗНАТАТА - ТРЕПЕТ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Лирика на саможртва,"Лирика на саможртва

Јас сум веќе стара песна,
Што немам куде да одам,
Заробена во срцето кревко,
Чекам пак да бидам пеана.

Жената моја, ручекот ми го готви,
Но, мене само очите ме болат -
Стон во темни утра, во сликите што веќе нема,
Кога сум уште пак тука, а сега ме нема.

Чекам гласот да ме испее,
Да ме избави од овој немир,
Заборавена, сама, прежалена,
Со сите срци што ме оставија.

Чекам ветрот да ме однесе,
Во вечноста што не постои,
Да згасне во сјајот на денот,
Во срцата што не ме познаваат.

Зар не беше доволно што подарив,
Зар не беше доволен мојот дар?
Фрагменти од животот во песна ткаени,
Сега како покров на гробот стар.

Весели гласови што ме пееја,
Тажни души што ме плачеа,
Сите оставија мене самa,
Во водите што вечно не тонат.

Јас сум веќе стара песна,
Што немам куде да одам,
Разнесена во сите души,
Во темна ноќ што ме покрива.",1002,445,1447,6150,27.66236686706543
Блаже Конески,Езеро,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Песна за изгубеното време,"Песна за изгубеното време

Сум само сенка од себе,
што тапка по празните совети,
без мир во срцето,
само со болка што ме дели.

Песната мојата веќе не звучи,
само тивок шепот -
дури и нема што да се пее,
иако срцето уште чека.

Сега минатото ме гризе,
секој миг што го пропуштив,
секоја шанса што ја затворив -
навраќањето пак недостига.

Оставен во темнината,
ги чекам моментите што веќе
не можат да се вратат,
додека времето го изјадува мојот живот.

Дури и ѕвездите гаснат,
без надеж за ново воскреснување,
зашто веќе нема ни сончев блесок,
ни бучава на птичји крилја.

Ова е мојата последна исповед,
пред да ме однесе заборавот,
што секогаш доаѓа
со смртта на се` што сум бил.",869,343,1212,4452,34.6080207824707
Блаже Конески,Мајска ноќ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Рехер,"Рехер

Сум песна што наликува на рехер,
фрагмент од реченица во мемријата,
долга и колеблива како потрага за време.
Таа ме бара низ темните ходници на умот,
оставајќи трага со женски заменки,
зборови за комуникација испреплетени во неизвесност.

Сегашноста е дел од мина, скриена во сенки -
приспивна мелодија што шепоти болна истина.
Нема ни почеток ни крај, само неспокоен ритам
што одекнува во срцето, како тапкање на време.

Сум песна на заборав, во која се ронат сеќавањата,
како лисја од дрво што всушност постои сè уште,
во загуба на визуелното, во глув шум на аудитивното.
Таја песна, таја рехер, во неа се наоѓам самата себеси -
сенка на меланхолија, на несигурен одраз во огледало.",947,334,1281,5378,55.888912200927734
Блаже Конески,ДЕТЕ ЗАСПАНО КРАЈ ЕЗЕРО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Интерпункциски симболи",Песна за срце и време,"Песна за срце и време

Сум веќе пак тука, во овој миг,
Што завршува неискупиво.
Никој нема да нè повтори нас,
Ниту пак нашите стапки ќе ги одредат
Идните чекори во драмскиот развиток.

Деновите ми се изброени, срце!
Набргу ќе ја кренам котвата лесна ко пердув
И ќе заминам каде што ветрот ме носи -
Не веќе онаму каде што бев,
Не во тој празен круг од годината и коп.
Поарно е вака, заедно со семињата
Што ветрот ги одронува и ги носи
Каде што ќе родат или згинат
Не по моја волја.
Поарно е вака, со обрачи песок
Од пустината, доволни да ги избројат
Годините што ќе дојдат.

Срце, не гледам назад.
Она што го научив, го истрадав заедно,
Цел и потполн, и чесно го заработив -
Ниту пред да го испуштам крикот,
Ниту откако го фрлив диокот да кружи
Каде што треба.
Зборовите што ги врежав во камен и месо
Веќе не се мои, ако се нечии,
Тие повторно ќе бидат мои.",837,453,1290,4755,51.0675163269043
Блаже Конески,Куманово,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Зборови за комуникација
Бидување несигурен/колеблив
Негативна емоција
Тага
Негативен тон
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со храна или јадење
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Пулс на душата,"Пулс на душата

Во мене пулсира стисок на срце,
Желби што блескаат, а сепак треперат.
Разговор несигурен, колеблив, во превртени слики,
Зборови што тажно трепкаат од очекување што ги дави.

Гладни за миг да ме запеат, да ме излечат,
Да ми ги вратат песните што негде сум ги изгубил.
Ноти што копнеат за своја почетна точка,
Мелодија што ветрот ја носи, а јас се втурнувам во неа.

Минатото ме вика, а иднината ми зборува,
Тоа време што ми бега, што ми се исплизгува низ прсти.
Жед за допир, за блискост, за зборови што треперат,
А сепак завршуваат со точки во мое сирово срце.

Сум сенка во магла, сум глас во тишина,
Сум болка што секогаш пребројува коски.
Оставам печат во песок, а ветрот го однесува,
Чекори што трепкаат, а сепак не остануваат.",920,380,1300,5286,41.886024475097656
Блаже Конески,Татковина,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Непатувана стрела,"Непатувана стрела

Таму каде што времето сум што векуваше,
гради ми се разлетуваат низ нови простори.
Крвави слики некои сега ме навестуваат,
светкавици од минатото дека мораат да прснат.

Моето срце веќе не е само мое, 
него го носат далечни ветришта,
што не знаат за спокојни ридишта,
туку во нишка тивка само шепотат.

Доаѓаат ноќи кога сенките пак ме дочекуваат,
клетви од нивниот дом кои душата ми ја дразнат.
Никогаш нема да дознам зошто тие тагуваат,
но ја чувствувам тежината која сега ме гризе.

Во секоја искра што ноќите ми ги носат,
во секоја сенка што ме следи до зора,
сам себе се барам, а само се удирам,
оставајќи траги од песми што веќе ги нема.",677,339,1016,4839,49.07865905761719
Блаже Конески,КАФЕЗ,"Фигуративен јазик
Активен глас
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Интерпункциски симболи
Броеви",Неисписана песна,"Неисписана песна

Сум оставен сам, на прагот на сегашноста,
Гледам назад во тажна минатост.
Дури и песната веќе не ме брани,
Всушност, таа сега отсутно пак ме рани.

Нема боја што ќе ја фати мојата тага,
Нема зборови што можат да ја искажат.
Тука сум, сам, со срце што вене,
Чекајќи дали пак ќе дојдеш, дали ќе се вратиш мене.

Овие денови, ти сега сосем не ме гледаш,
Сé што имав, сé што беше, сега го нема.
Само црнилото на поранешното светло зрачење,
Ме потсетува на нашето минато чувствување.

Сега, кога те нема, се обидувам да те пронајдам,
Да ја внесам во мојот живот барем твојата сенка.
Но, дури и таа се губи во мракот што ме обзема,
Оставајќи ме сам, во ова пустинско време.",838,365,1203,5038,30.70591926574707
Блаже Конески,СТАРАТА,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Зборови за комуникација
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Повик на песна,"Повик на песна

Сум јас, твоја поет непозната,
што чека да ја роди мојот глас.
Дошол е веќе мигот да се слуша,
да потече по жилите ми пак.

О, срце мое, изнад времето,
допри ги ветрови на сеќавање!
Нема многу, а сега повторно
ќе звучи песна во мо'то пеење.

Се пробудува аз', сме се враќам,
да ти покажам што сум спрема нов;
Да ја испеам во глас на дома,
рамнината оваа од миг до миг.

Пред тебе сега сум - твоја, сегашна,
со зборови што носат слика, звук.
Изрази се и ти, ме слушај! 
Нека нема повеќе таков прекин.

Ме викаш пак, животе мој неуспешен,
да дојдам во денот што тече сега.
Доаѓам - сум веќе овде, не се сомневај,
вечна песна да ти испеам на глас.",949,361,1310,4718,37.538394927978516
Блаже Конески,2.,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Позитивна емоција
Негативна емоција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Издолжени зборови",Помнење,"Помнење

Сум, веќе пак сум,
Сега тука, сепак далеку.
Песната моја, душата моја,
Срцето во очите што трепкаат.

Нема враќање, дури нема, 
Единствено остануваат сеќавањата.
Сечем низ времето, преправам ги мислите,
Допирајќи ги боите што сè помалку светат.

Јас, сум, сум пак овде,
Среде бесконечноста што ме гали.
Зимите што ме вееја, дождовите што ме прошлапаа,
Сега ги носам како сенки на моето срце.

Зборовите, зборовите се вратија
Да ја изградат одново мојата песна.
Повторно да ме вратат во она минато,
Во тие мигови што веќе немаат враќање.",939,295,1234,3823,31.974878311157227
Блаже Конески,НОЖ,"Фигуративен јазик
Активен глас
Машки заменки
Просоцијално однесување
Морализирање
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Увид
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Зборови кои означуваат мажи
Интерпункциски симболи",Има ли надеж?,"Има ли надеж?

Сум обземен од сенки на минатото,
Ми се враќаат слики од моето детство.
Чувствувам тага што повторно ме следи,
Секогаш присутна, како што другите ја избегнуваат.

Сега гледам пред себе, немам сила да продолжам,
Сакам да избегам од овој страв што ме обзема.
Сам одам низ животот, душата ми е празна,
Никаде не гледам светлина што ќе ме води напред.

Дали постои надеж за мене, дали пак ќе имам сила
Да ги соочам демоните што ме измачуваат?
Срцето ми вика да не се предавам, да продолжам,
Дали ќе најдам сила во себе, или ќе изгубам сè?

Сега гледам наназад, во она што е веќе минато,
Сакам да се вратам и да почнам од почеток.
Но времето не враќа назад, ми носи само маки,
Ги губам следите во темнината, срцето гори од болка.

Дали ќе најдам одговори на прашањата што ме мачат?
Дали ќе пронајдам светлина што ќе ми ја врати надежта?
Само ми останува да се борам, да го исправам својот пат,
Можеби ќе успеам пак да пронајдам мир во своето срце.",965,472,1437,5559,24.4849853515625
Блаже Конески,ПОЛНОЌ,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Песна за несреќната другарка,"Песна за несреќната другарка

Мојата песна за теб, другарке,
Дали ќе ги чујат нејзините тжни звуци?
Таа се крие во мојот уморен поглед,
Во стравот што ме облева кога ти помислам.

Ти беше секогаш до мене, сега не те наоѓам.
Твојата насмевка ми недостасува,
Тој блесок во твоите очи што ме испраќаше,
Твојата нежност што ме утешуваше.

Сегашноста ме стега, не знам каде си.
Минатото ми се враќа, го копнам твоето присуство.
Ѕвезди да паѓаат, дома да дојдеш,
Душата ми вее, те чека да се вратиш.

Но, никогаш повеќе нема да пеам со тебе,
Тажните тонови ќе ме влечат во својот меланхоличен вир.
Ризикот те однесе, но сепак те сакам,
Дури и кога те нема, ти си во мојот дом.",954,369,1323,5234,27.15664291381836
