author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score
Славко Јаневски,Еrејска  песна - 3,,Песна за домовина,"Песна за домовина

Во овие граници кадифени и мирни,
каде што ветровите тихо шепаат,
тука се срцата ни домашни,
и овие земјини рабови ни ги учапат.

Златни полја, кадешто сончевиот свет
се слива со мирисот на лозата,
тука се родени нашите ветрови,
и овие ѕвезди ни ги водат на пут.

Од планините високи, кадешто врвовите
се губеат во облаците бели,
тука се нашите спомени,
и овие води ни ги исполнуваат душите.

О, домовина, ти си моето срце,
кадешто љубовта нема граници,
тука се нашите надежни сништа,
и овие песни ни ги носат на небо.

Во овие граници кадифени и мирни,
каде што ветровите тихо шепаат,
тука се срцата ни домашни,
и овие земјини рабови ни ги учапат.",340,361,701,2233,16.75181007385254,0.0020263696772438115
Славко Јаневски,Илинка  сончева  свршеница - 8,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што ветровите пејат стари песни,
каде што тишината е полна со тихо шепот,
тука се кријат мечите на минатото,
кои чекаат да ги пробуди она што е заборавено.

Зелени листови, тихо брегови,
тука се трагите на срцата што имаат сон,
тука се ѕвездите што патуваат преку ноќта,
и нивниот сјај осветлува сенки од давнина.

Мечите лежат под земјата, под тишината,
под лисјата што паѓаат, под ветровите што носат,
тихо чекаат оние што ќе ги пронајдат,
оние што ќе ги слушнат стариот говор.

Во долина каде што времето е вечен сон,
каде што срцето на земјата дише,
тука е местото каде што лежи нашата судбина,
тука е местото каде што почиваме, заедно со нашите мечови.

Изгрева нов ден, но минатото останува,
во долина каде што мечите чекаат,
тука се нашите спомени, нашите сонови,
тука е Долината на Мечите, она што никогаш не заборави.",340,438,778,3008,20.77779769897461,0.002129540262747346
Славко Јаневски,Зоја - 7,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што ветровите пејат стари песни,
каде што тишината е полна со тихо шепот,
тука се кријат мечите на минатото,
кои чекаат нивниот судија.

Во овие земјини граници, каде што сончевиот зрак
се игра со сенките на дрвјата,
тука растат спомени, вистински како цвеќиња,
и ние ги собираме, како да ги чуваме во срцето.

Од каде доаѓаат овие мечите,
кои чекаат да им се додели суд,
од далечниот врв на минатото,
каде што времето се губи во вековите.

Тука, каде што земјата е полна со тишина,
и каде што ветрот носи ветувања,
тука се кријат тие, тие стари мечите,
кои ни укажуваат на патот на судбината.

И ние, стоејќи во оваа долина,
слушаме нивниот шепот,
и ги чуваме тие спомени,
како да ги чуеме уште еднаш.

Тука, во Долината на Мечите,
каде што минатото се среќава со сегашноста,
тука се нашите судови,
и тука се нашите спомени.",340,453,793,3395,22.392108917236328,0.0022556610335784364
Славко Јаневски,Мост,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихоста зборува за вековите.

Тука, каде што земјата е полна со траги,
а секој камен е писмо во прашината,
тука се слуша легендата на ветровите,
и срцето на долината пушта мелодии.

Од далечнината се чуват повиците,
на души кои летаат меѓу облаците,
тука се родени мечите на тишината,
и светлината на ѕвездите ги осветлува патиштата.

Во овие граници, каде што времето стои,
и секој здив е спомен за минатото,
тука се пее песната на вечноста,
каде што душа и земја се едно.

Тука, во долината на мечите,
каде што срцето го слуша ветерот,
тука се наоѓа вистинската тишина,
и светлината на сонце се осветлува во душата.",340,377,717,2700,25.952224731445312,0.002149236614484086
Славко Јаневски,Љубов  за  љубов,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде сонце тихо се спушта,
мечите сонуваат во тишината на вечерната тишина.
Зелени листови, тихо шепат приказни,
за јунаци кои некогаш тука поминаа.

Во овие рамнини, каде ветрот шепа по земјата,
тихо се слуша звукот на стариот ритам.
Секој камен, секоја грана, тихо зборува,
за мигли на минатото, за денови исчезнати.

Ова е дом на спомените, на тишината на ветрот,
каде секој чекор е спомен за она што беше.
Песната на долина, тихо ја пее љубовта,
на јунаците заборавени, на оние што го напуштиа.

Во Долината на Мечите, тихо се слуша легендата,
на оние кои ги чууваа нејзините тајни.
Тука, во тишината, се чууваат сите мечови,
и сите спомени, тихо, во сонот на долина.",340,378,718,2836,30.33568954467773,0.0014989136690260617
Славко Јаневски,Прва  бразда,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде сонце тихо зори,
мечите сонуваат во тишината на морето.
Тука ветерот шепоти стари приказни,
а ѕвездите им ги блешат очите на тие стари души.

Патеки криви, испреплетени со лисја,
каде чекорите ги следат стапките на времето.
Тука земјата е пумпана со сенки,
и секој чекор е спомен, секој чекор е ветер.

Долнината е тиха, но полни со животи,
каде духовите на оние кои минале,
пливаат меѓу лисјата и нивните мечови.
Тука се родени сонови, тука се родени ветрови.

Изгрејсонцето го светли врвовите,
а сенките ги гута утринската светлина.
Тука животот е сон, а сонот е животот,
и сè е исполнето со тишина и ветер.

Долнината на мечите, долнината на спомени,
каде секој чекор е спомен, секој чекор е ветер.
Тука сме ние, во тишината на сонот,
и во ветерот на времето, вечно траејќи.",340,433,773,3106,28.55670547485352,0.0023726575092465323
Славко Јаневски,Полноќна  приказна,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот ветер шепоти,
Тука живее легендата, тука се раѓаат спомени.
Зелени ливади, мирис на тишина,
И тихо говори земјата, исполнета со ветрови.

Мечите на предците, исечени во ѕвездени ноќи,
Тука се нивните траги, исписени во земјата.
Секој камен, секоја грана, говори за борби,
И за љубовта што трае, и за смртта што минува.

Во овие граници, каде што се спојуваат души,
Тука се родени сончевиот сјај и мракот.
Песните се раѓаат од ветерот, од тишината,
И се носат на крилјата на времето, за да се врата.

Долива на мечите, тука се срцата се спојуваат,
Тука се родени ѕвездите, тука се родени ние.
Во овие граници, каде што животот е песна,
Тука сме ние, тука сме тие, тука сме сè.",340,396,736,2813,22.09296417236328,0.0013788018163841038
Славко Јаневски,Илинка  сончева  свршеница - 2,,Песна за Ќучевината,"Песна за Ќучевината

На Ќучевината, каде што ветерот шепоти,
Тука се родуваат сонце и тишината.
Зелени листови, тихо говорат приказни,
Секој ден носи нов ритмичен звук.

Во овие граници, каде што земјата дише,
Секој здив е полн со мистерии.
Тука животот се раѓа и се развива,
Каде што дрвјата се стари мудреци.

Патеки кријуваат тајни, тихо минуваме,
Секој чекор е дел од овој вечен циклус.
Ќучевината, дом на сончеви снови,
Каде што срцето се спојува со природата.

Тука се родуваат ѕвезди во душа,
Каде што секој ден е ново раѓање.
Во овој свет на тишина и сонце,
Ќучевината е рајот на сите нас.",340,339,679,2573,26.10552406311035,0.002753952352184751
Славко Јаневски,Три  неволји,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што ветровите тихо зборуваат,
мечите сонуваат на сончевиот руб,
а ѕвездите тихо се шегуваат со ноќта,
каде што тишината е единствена љубов.

Тука, каде што земјата е полна со спомени,
и секој камен е писмо напишано во времето,
песната на животот звучни е во секој чекор,
и душата се ослободува од вековите бреме.

Мечите сонуваат, но срцата се будат,
во долина каде што љубовта е непобедлива сила,
и секој ветер носи нови надеж,
каде што светлината се раѓа од сенките на минато.

Тука, во долина на мечите,
каде што тишината зборува посилно од бурата,
песната на животот продолжува засекогаш,
и срцето на секој се полни со нова љубов.",340,346,686,2595,28.23765182495117,0.0007816321531203378
Славко Јаневски,Танчерка на дланка,,Песна за Ќерамидите на времето,"Песна за Ќерамидите на времето

Во тишината на вековите, ти стоиш, ќерамиди,
Сликите на минатото ти се вечно испишани.
Ти ги чуваш легендите, ти ги носиш трагите,
На срцето на земјата, ти си вечен ѕид.

Од ден на ден, ти ги гледаш луѓето како минуваат,
Секој со своја приказна, со свој сон и страдање.
Ти ги чуваш тихо, ти ги носиш во своите плочи,
Секој ден, секоја ноќ, ти си вечен чувар.

Врз твоите рабови, ветрот шепоти спомени,
Ти ги носиш тихо, ти ги чувариш во душата.
Ти ги испиша сонце, ги избледи месечината,
Ти си вечен ѕид, ти си вечен говор.

Ќерамиди на времето, ти си вечен спомен,
Ти ги чуваш легендите, ти ги носиш трагите.
Ти си вечен ѕид, ти си вечен говор,
Во тишината на вековите, ти стоиш, ќерамиди.",340,405,745,2431,14.373581886291504,0.0022918063815148848
Славко Јаневски,Ивец,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихоста зборува за вековите.

Тука, каде што земјата е полна со траги,
а срцата со љубов и болка,
тука се родени мечите на спомен,
кои сонуваат во сенките на вечерите.

Во овие рамнини, каде што ветерот шепа,
и ѕвездите се блиску како браќа,
тука се родени сонцевиот блесок
и сенките на тие кои поминаа.

Песната на долина, тихо и силно,
како звукот на далечниот бурен ветер,
тука се слуша во срцето на секој што стои,
и се враќа во спомените на вековите.

Во оваа земја на мечите и сонце,
каде што секој чекор е исполнет со смисла,
тука се пее песната на животот,
и се чува во спомените на срцето.",340,383,723,2666,29.155488967895508,0.010171937768183521
Славко Јаневски,Илинка  сончева  свршеница - 5,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихоста зборува за вековите.

Тука, каде што земјата е полна со траги,
а секој камен е писмо во прашината,
тука се чудиме на ликови од минатото,
и ги слушаме нивните ветувања.

Долина на мечите, ти си сонот на стариот борец,
кој со својот штит и меч ги бранеше овие земји.
Тука, каде што ветровите шепаат меѓу гранитите,
и тишината е единствена молитва.

Секој чекор е спомен, секоја сенка е приказ,
на оние кои овде живеаа и умреа,
и ние, патувачи на овие прашини,
ги носиме нивните души во срцето.

Долина на мечите, ти си утврдување на душа,
каде што секој ден е ново раѓање,
и секоја ноќ е сон за вечноста.
Тука, во тишината, ние пронаоѓаме смисла.",340,416,756,3064,26.56492805480957,0.0021286777636525278
Славко Јаневски,Цветови,,Песна за домовина,"Песна за домовина

Во овие граници, кадифени и мирни,
каде што ветровите тихо шепаат,
тука се срцата, овде се спомените,
и овие земјини плочи ни се дом.

Од планините високи, кадешто ѕвездите се блиски,
до реките што пејат свои стари песни,
тука се нашите корени, тука е нашата душа,
и овие земјини плочи ни се дом.

Од низиите златни, каде што сончевиот зрак го осветлува,
до тишините што ги чуват тие вековни тајни,
тука се нашиот живот, тука е нашата љубов,
и овие земјини плочи ни се дом.

Во овие граници, кадифени и мирни,
каде што ветровите тихо шепаат,
тука се срцата, овде се спомените,
и овие земјини плочи ни се дом.",340,341,681,2097,12.572818756103516,0.0015229677479275889
Славко Јаневски,Илинка  сончева  свршеница - 7,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде сонце тихо се спушта,
мечите сонуваат во тишината на вечерната тишина.
Зелени листови, тихо шепат приказни,
за јунаци кои некогаш тука поминаа.

Во овие рамнини, каде ветрот шепа по земјата,
тихо се слуша звукот на стариот ритам.
Секој камен, секоја грана, тихо зборува,
за мигли на времето, исчезнати во далечина.

Овие долини, тихо ги чуваат тајните,
на оние кои ги носеле мечите во рацете.
Секој чекор, секој здив, тихо ги остава белег,
во овие долини на спомени и сонови.

Тука, каде што сонце вечерно се спушта,
мечите сонуваат во тишината на вечерната тишина.
И ние, тука, ги чуваме легендите,
во тишината на Долината на Мечите.",340,360,700,2485,26.38866806030273,0
Славко Јаневски,Сестрина  љубов,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихоста зборува за вековите.

Тука лисјата говорат на ветрот,
нивниот јазик е тихо, но искрено,
а водите на реката пливаат со спомени,
светли и мирни, но полнети со сенки.

Во овие граници, ѕвездите се спојуваат
со сенките на дрвјата, тихо се играат,
и песната на ноќта се раѓа од нив,
каде што секој звук е спомен на минатото.

Тука, каде што земјата дише мирис на зеленило,
и каде што ветерот шепне на ушите,
песната на долина е вечен ритам,
на кого му се верува дека ќе трае засекогаш.

Тука, во ова светло на спомени,
каде што секој чекор е спомен,
песната на Долината на Мечите
е вечен звук на срцето на македонскиот народ.",340,389,729,2930,29.91219711303711,0.0024738180584429116
Славко Јаневски,Песна  на  описменетиот бригадир,,Песна за Ќучевината,"Песна за Ќучевината

В Ќучевина, земја на тишината,
каде што ветровите тихо зборуваат,
тие носат ветер со нијанси на спомени,
и тие ни раскажуваат приказни за светлината.

В Ќучевина, каде што планините се гордо држат,
нивните врвови се осветлени од сончевиот зрак,
тие ни покажуваат пат кон небото,
и ни даваат мир во срцето.

В Ќучевина, каде што реките течат мирно,
тие носат со себе водени песни,
и тие ни укажуваат на правецот на животот,
каде што среќата е секојденвен дар.

В Ќучевина, земја на стари ритуали,
каде што традицијата живее во секој ден,
тие ни укажуваат на патот на идната генерација,
со нивната искреност и верност.

В Ќучевина, тука сме ние, деца на овие земји,
ние ги чуваме нивните траги и нивната светлина,
и ние продолжуваме да ги носиме нивните духови,
во срцето, за да секогаш останеме блиску.

В Ќучевина, земја на љубовта и мирот,
тие остануваат дел од нас, засекогаш,
и ние ќе продолжиме да ги пееме песните,
на овие земји, за да секогаш се сеќаваме.",340,518,858,3278,20.88584327697754,0.0014540003135694644
Славко Јаневски,Испрак' ала  мајка  чедо,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде сонце тихо се спушта,
мечите сонуваат во тишината на вечерната тишина.
Зелени листови, тихо шепат приказни,
на ветровите ги испраќаат своите ветувања.

Тука, каде што земјата е полна со спомени,
и секој камен е писмо од минатото.
Величието на овие места е тихо,
но силно, како ветерот што ги шепа дрвјата.

Мечите сонуваат, но сè уште се живи,
нивните дршка ги држат ветровите на спомени.
Тука, во долина каде тишината зборува,
и срцето на природата ни го открива своето тајно говорење.

Секој чекор е спомен,
секоја сенка е приказна.
Песната на долина, вечен ритмот на времето,
каде што минатото и сегашноста се единат.

Тука, во долина на мечите,
срцето на македонскиот народ вечно пукнува.",340,374,714,2851,31.48392868041992,0.0019422805518315152
Славко Јаневски,Зоја - 2,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што ветровите тихо шетаат,
мечите на прашината сонуваат за битки ненадесни.
Зелени листови, тихо шепоти, тихо ветрови,
сите зборуваат за легенди што никогаш не веснуваат.

Секој камен е споменик на стариот борец,
неговиот дух лебди во овие рамнини.
Сончевиот светлина ги осветлува сенките на минатото,
а ѕвездената ноќ ги враќа спомените на далечниот судир.

Тука, каде што земјата е полна со тишина,
срцето на долината пука со љубов кон своите деца.
Тие чекаат, тихо, под небото што се менува,
надевајќи се дека денот на мирот е близу.

Мечите се мирни, но никој не верува дека засекогаш,
ниту пак се плашат дека ќе заборават.
Тие чекаат, тихо, во долина полна со спомени,
каде што секој чекор е исполнет со истории.

Песната на долината продолжува, вечно и тихо,
каде што секој ден е ново поглавје во епската приказна.
Тука, во Долината на Мечите, тишината зборува посилно од битките,
и срцето на земјата продолжува да пука со љубов и надеж.",340,492,832,3927,36.10882186889648,0.0017691591674190963
Славко Јаневски,Срце,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихо говори земјата.

Тука лисјата шепоти со звездите,
и тие ги носат ветровите на душа,
каде што се родени мечите на сонце,
и секој чекор е трага на ветрови.

Во овие граници, каде што животот
се плете со сенките на минатото,
тука се родени сонце и ѕвезди,
и секој здив е дел од тишината.

Тука, каде што земјата говори со срце,
и ветровите носат гласа на душа,
песната на долината трае вечно,
и секој ден е ново раѓање.

Во оваа земја на мечите и сонце,
каде што срцето се плете со ветрови,
тука се родени спомени и сонце,
и секој здив е дел од вечноста.",340,364,704,2451,18.076505661010746,0.0025203536428390918
Славко Јаневски,Цветои,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што ветровите пејат стари песни,
каде што тишината е полна со тихо шепот,
тука се кријат мечите на минатото,
кои чекаат да ги пробуди она што е заборавено.

Зелени листови, тихо брегови,
тука се трагите на срцата што имаат сон,
тука се ѕвездите што патуваат преку ноќта,
и нивниот сјај осветлува сенки од давнина.

Мечите лежат мирно, под сенката на дрвото,
нивните дршка испреплетени со корени,
тихо чекаат да се слушне звукот на судбината,
да се разбудат од сонот што го имаат долго држено.

Ова е долина на спомени,
каде што секој камен е писмо од прошлоста,
и секој ветер носи ветување за иднина,
тука се родени легендите, тука се креваат нови сонови.

Песната на долина, сон на мечите,
тука се среќаваат минатото и иднината,
и секој што ќе помине ќе слушне приказни,
кои ќе го водат кон вистинскиот пат.

Во долина каде што ветровите пејат стари песни,
тука се кријат мечите на минатото,
и тие чекаат, мирно, под сенката на дрвото.",340,491,831,3531,25.2894344329834,0.001716659515983052
Славко Јаневски,Еrејска  песна - 4,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде сонце тихо зори,
мечите сонуваат во тишината на морето.
Тука ветерот шепоти со лисјата,
и тие говорат за стари приказни,
за јунаци кои лебедеа во далечни земји.

Во овие рамнини, каде што земјата е мирна,
срцата се пукнати од љубов и болка.
Тука животот е сон, плимите на душа,
и секој чекор е чекор кон непознато.
Секој камен е споменик на заборавени спомени.

Од далечнината се чуват звукови на стари песни,
песни за храброст и за љубовта што не помина.
Тука, во оваа долина на мечите,
срцето го бара својот дом,
и душата чека својот јунак.

Во овие далечни утрински светлини,
светот е нов, но срцето е старо.
Тука, каде што сонце и земја се единствени,
секој ден е нов почеток,
и секоја ноќ е сон за следниот ден.

Во долината на мечите, каде што сонце зори,
животот е песна, непозната и неверојатна.
Тука, каде што срцето чека својот јунак,
секој ден е нов стих во оваа вечен песник.",340,485,825,3625,19.654621124267575,0.001414139410734909
Славко Јаневски,Илинка  сончева  свршеница - 4,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихоста зборува за вековите.

Тука, каде што земјата е полна со траги,
а секој камен е писмо во прашината,
тука се чудиме на ликови од минатото,
и ги слушаме нивните тајни.

Долу, каде што реката плива мирно,
и водите шепаат со брегови,
тука се родени сончевиот блесок
и сенките на вековите.

Во овие граници, каде што ветерот пее,
и ветровите носаат ветувања,
тука се родени митови и легенди,
и секој ден е ново раѓање.

Тука, каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихоста зборува за вековите.",340,355,695,2513,18.533802032470703,0.0019422805518315152
Славко Јаневски,Ајдучка  легенда,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде тишината зборува со ветровите.

Тука, каде што земјата е полна со траги,
а срцата со тишина,
тука се родени мечите на спомените,
кои сонуваат во сончевиот блесок.

Во овие рамнини, каде што ветрот шепа,
и земјата тихо ги чуува тајните,
тука се родени ѕвездите на тишината,
кои светат во срцето на ноќта.

Во долината на мечите, каде што тишината
е полна со ветрови на спомени,
тука се родени песните на сончевиот зрак,
кои сонуваат во срцето на вечноста.

Тука, каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди вечноста на тишината,
каде тишината зборува со ветровите.",340,363,703,2506,13.102652549743652,0.0009412956398337917
Славко Јаневски,Две  приказни,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде сонце тихо зори,
мечите сонуваат во тишината на морето.
Тука ветерот шепоти со лисјата,
и тие говорат за стари приказни,
за јунаци кои лебедеа во далечни земји.

Патеки на прашината ги следат стапките,
каде што тишината е единствена гласа.
Дрвото на спомените стои вечно,
со рацете исполнети со сенки од минатото,
и со срце што чека нови сонови.

Очите на ноќта се звездени огништа,
и светлите ѕвезди им раскажуваат на ветровите,
приказни за светот што никогаш не заборави.
Тука, во долината на мечите,
срцето на земјата го чува својот таен јазик.

И во тишината на овие далечни краишта,
душата пронаоѓа својот правен пат,
каде што секој чекор е исполнет со надеж,
и каде што светлината на новите денови
се раѓа од сенките на минатото.",340,400,740,2850,40.79652786254883,0.0014840184957239683
Славко Јаневски,Гората  за  овчарот,,Песна за Ќучевината,"Песна за Ќучевината

Во Ќучевината, каде што ветровите тихо зборуваат,
светлината на денот се осмелива да се игра со сенките.
Тука, каде што земјата е полна со стари легенди,
и секој камен има своја приказна да ја раскаже.

Тука, каде што тихото езеро зеленува,
а рибите пливаат во сончевиот сјај,
срцето се отвора на миг за да го задржи сјајот,
и да го чува во длабочините на душа.

Ќучевината, земја на сончеви полудници,
каде што ветровите носат мирис на зеленило,
тука се родуваат сонови од стари времиња,
и секој чекор е исполнет со надеж и љубов.

Во Ќучевината, каде што ѕвездите тихо се смеат,
и ноќите се полнети со тишина и мистерии,
срцето на секој човек се отвора за да го пронајде
тој специјален дел од него, полн со искреност и верба.

Ќучевината, земја на вечно сонце и љубов,
каде што секој ден носи нови можности и надеж,
тука се раѓаат песни, полнети со искреност,
и секој звук е исполнет со љубов и благослов.",340,479,819,3430,19.564790725708008,0.0014239374741886576
Славко Јаневски,Илинка  сончева  свршеница - 6,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што ветровите пејат тихо,
каде што тишината е полна со сонце и ѕвезди,
тука се кријат мечите на нашите души,
исполнети со сенки и надеж.

Во овие земји, каде што земјата е родена од ѕвезди,
и реките течат со сребро и љубов,
тука се родени нашите митови,
и секој чекор е исполнет со ветрови на слобода.

Од далечнината се чуват ѕвонењата на ѕвездите,
и светлината на луната го осветлува патот,
тука се родени нашите сонови,
и секој ден е ново раѓање.

Во долина каде што ветровите пејат тихо,
каде што тишината е полна со сонце и ѕвезди,
тука се кријат мечите на нашите души,
исполнети со сенки и надеж.",340,337,677,2259,12.097127914428713,0.0025044529334224243
Славко Јаневски,Зоја - 0,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што ветровите пејат стари песни,
каде што тишината го крие траг на легенди,
тука се родија мечите, тука се родија сонови,
во овие земјини граници, тука се родив јас.

Дрвени корени, тихо говорат за миналото,
нивните ветрови носат ветувања на иднина,
а ѕвездените ноќи го осветлуваат патот на надежта,
каде што срцето го слуша ритмот на животот.

Од овие земјини граници, јас го зедов својот меч,
светлина на душа, исполнет со смелост и верување,
и со него ќе се борам за светот што го имаме,
за да го чувам светлото на нашите надежни ѕвезди.

Тука, во долина каде што ветровите пејат стари песни,
каде што тишината го крие траг на легенди,
тука се родија мечите, тука се родија сонови,
и тука ќе останам, за да го бранам нашиот дом.",340,407,747,3159,18.51735496520996,0.0020540608353462743
Славко Јаневски,Зоја - 1,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на спомени,
тука се роди песната на тишината,
каде што тихоста зборува за вековите.

Тука, каде што земјата е полна со траги,
а срцата со љубов и со сомнежи,
тука се родени мечите на душа,
кои сонуваат за светлината на утре.

Во овие рамнини, каде што ветерот шета,
и тишината е полна со ветрови на надеж,
тука се родени ѕвездите на нас,
кои светат во темнината на ноќта.

Песната на овие земји е полна со ритми,
каде што секој звук е дел од легенда,
тука се родени митови на љубов,
кои траат до крајот на времето.

Во долината на мечите, тука каде што срцето говори,
и душата се осмехува на секој ден,
тука се родени сончевиот блесок и ѕвездениот сјај,
каде што сè е полн со надевање и надеж.",340,400,740,2910,26.63703727722168,0.0018661261747254534
Славко Јаневски,Челник  Пејо,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде сонце тихо свие,
мечите сонуваат во тишината на веки,
каде што ветрот шепоти со лисјата,
и тихоста е единствена правда.

Тука, каде што земјата е пуштена,
и срцата чекаат на денот да се ослободи,
мечите лежат, мирни во своите ковчиња,
како стари приказни што чекаат да се раскажат.

Во овие граници, каде што времето се забавува,
и ѕвездите се блиску како близнаци,
светлината на месечината го осветлува,
патот кон сончевиот рид.

Тука, каде што животот е тихо и вечен,
и душите се среќни во своите сонови,
мечите чекаат, мирни и вечно,
да се будат со денот што доаѓа.

Тука во долина на мечите,
каде што мирот е вечен сон,
срцата чекаат, мирни и верни,
да се разбудат со светлината на новиот ден.",340,382,722,2778,27.463062286376957,0.0018165432817598452
