author,song,style_feature_category,extracted_text,time_needed
Кочо Рацин,Балада за непознатиот,Зборови поврзани со просторна перцепција,"Асистент дава корисни, детални и љубезни одговори на прашањата на корисникот. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.2666730880737305
Кочо Рацин,Балада за непознатиот,Зборови поврзани со перцепција на движење,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.386857032775879
Кочо Рацин,Балада за непознатиот,Зборови поврзани со внимание,"Асистент: Зборови поврзани со внимание – зборови кои опишуваат фокус, концентрација или забележување.",1.8981819152832031
Кочо Рацин,Балада за непознатиот,Зборови поврзани со привлечност,"Зборови поврзани со привлечност – зборови кои изразуваат убавина, шарм или привлечност.",1.7305908203125
Кочо Рацин,Балада за непознатиот,Зборови поврзани со љубопитност,Асистент: Зборови поврзани со љубопитност – зборови што изразуваат интерес и желба за знаење.,1.8649780750274658
Кочо Рацин,Балада за непознатиот,Зборови поврзани со ризик,Зборови поврзани со ризик – зборови што укажуваат на опасност или неизвесност.,1.537259817123413
Кочо Рацин,Балада за непознатиот,Зборови поврзани со награда,"Зборови поврзани со награда – зборови кои изразуваат добивка, успех или придобивка.",1.6036858558654785
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат потреби,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3799703121185303
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат желби,"Во стилот на македонската поезија, оваа особина е присутна во следниве случаи:",1.4167492389678955
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат стекнување,Особина: Сарказам,0.6306560039520264
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат недостаток,"Доколку е присутен, одговори со ДА и проследено со образложение. Доколку не е присутен, одговори само со НЕ и ништо друго.",2.0499255657196045
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат исполнување,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3790323734283447
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат замор,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.692739248275757
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат болест,"Во овој пример, авторот користи сарказам за да ја искаже својата незадоволност. Одговор: Да.",1.6725599765777588
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат здравје,"Во овој пример, авторот користи зборови што изразуваат здравје. Ова може да се види од употребата на зборови како „здравје“, „живот“ и „здравица“.",2.580634832382202
Кочо Рацин,Балада за непознатиот,Зборови поврзани со ментално здравје,Зборови поврзани со ментално здравје – зборови што укажуваат на психолошка состојба.,1.6928811073303223
Кочо Рацин,Балада за непознатиот,Зборови поврзани со храна или јадење,Зборови поврзани со храна или јадење – зборови што опишуваат исхрана или акти на јадење.,1.691389799118042
Кочо Рацин,Балада за непознатиот,Зборови поврзани со смрт,"Зборови поврзани со смрт – зборови што опишуваат умирање, крај или загуба.",1.5005557537078857
Кочо Рацин,Балада за непознатиот,Зборови поврзани со самоповредување,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.726843595504761
Кочо Рацин,Балада за непознатиот,Сексуална содржина,Сексуална содржина – зборови што се однесуваат на секс или еротика.,1.4522366523742676
Кочо Рацин,Балада за непознатиот,Зборови поврзани со слободно време,Зборови поврзани со слободно време – зборови што опишуваат рекреација и хоби.,1.4510831832885742
Кочо Рацин,Балада за непознатиот,Зборови поврзани со дом,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3607699871063232
Кочо Рацин,Балада за непознатиот,Зборови поврзани со работа,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.358348846435547
Кочо Рацин,Балада за непознатиот,Зборови поврзани со пари,Зборови поврзани со пари – зборови што опишуваат финансии и економија.,1.3965611457824707
Кочо Рацин,Балада за непознатиот,Зборови поврзани со религија,Зборови поврзани со религија – зборови што опишуваат духовност и верски практики.,1.5027925968170166
Кочо Рацин,Балада за непознатиот,Зборови поврзани со политика,"Ако е присутна, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.150989294052124
Кочо Рацин,Балада за непознатиот,Зборови поврзани со култура,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3777942657470703
Кочо Рацин,Балада за непознатиот,Странски зборови,"Во овој дел од разговорот, асистентот треба да даде краток одговор на прашањето на корисникот. Одговорот треба да биде краток и јасен, со цел да се избегне преоптоварување на корисникот со непотребни информации.",3.4205281734466553
Кочо Рацин,Балада за непознатиот,Научни зборови,"Почитуван корисник,",0.608957052230835
Кочо Рацин,Балада за непознатиот,Сленг зборови,Дали авторот користи сленг зборови?[/INST],0.9467990398406982
Кочо Рацин,Балада за непознатиот,Сленг од социјални мрежи,"Во овој дел, асистентот треба да дава одговор на прашањето поставено од корисникот. Одговорот треба да биде краток и концизен, и да содржи детални информации за тоа како е присутна или отсутна особината во пасусот.",3.421373128890991
Кочо Рацин,Балада за непознатиот,Зборови-полнители (filler words),"Доколку авторот користи активен глас во пасусот, одговори со Да. Доколку не, одговори со Не.",1.6228978633880615
Кочо Рацин,Балада за непознатиот,Зборови фокусирани на минатото,Зборови фокусирани на минатото – изрази што се однесуваат на претходни настани.,1.521977186203003
Кочо Рацин,Балада за непознатиот,Зборови фокусирани на сегашноста,Зборови фокусирани на сегашноста – изрази што се однесуваат на моменталното време.,1.4694697856903076
Кочо Рацин,Балада за непознатиот,Зборови фокусирани на иднината,"Ако е присутна, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.151470899581909
Кочо Рацин,Балада за непознатиот,Зборови поврзани со време,"[INST]Изберете една од следниве одговори и дајте го корисничкиот одговор. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.177677154541016
Кочо Рацин,Балада за непознатиот,Погрешно напишани зборови,Погрешно напишани зборови – зборови со правописни грешки.,1.1553759574890137
Кочо Рацин,Балада за непознатиот,Повторени зборови,"Стил македонска поезија. Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.97115683555603
Кочо Рацин,Балада за непознатиот,Зборови кои изразуваат количина,Зборови кои изразуваат количина – зборови што означуваат број или мера.,1.3802833557128906
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат семејство,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3763582706451416
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат пријатели,Зборови кои означуваат пријатели – зборови што се однесуваат на пријателски односи.,1.5030298233032227
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат мажи,Зборови кои означуваат мажи – зборови што се однесуваат на машки личности.,1.4305963516235352
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат жени,"Стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.7243077754974365
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат миленици,"Постои ли оваа особина во пасусот? Одговори со Да или Не. Ако одговорот е Да, продолжи со образложение.",1.7395172119140625
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат социјален статус,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.334346532821655
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат сиромаштија,Зборови кои означуваат сиромаштија – зборови што укажуваат на недостиг на средства.,1.5345327854156494
Кочо Рацин,Балада за непознатиот,Зборови кои означуваат богатство,Зборови кои означуваат богатство – зборови што укажуваат на изобилство или финансиска моќ.,1.7271413803100586
Кочо Рацин,Балада за непознатиот,Интерпункциски симболи,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.310776948928833
Кочо Рацин,Балада за непознатиот,Составени зборови со цртичка,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.379351854324341
Кочо Рацин,Балада за непознатиот,Оксфордска запирка,Дали авторот ја користи Оксфордската запирка?[/INST],1.0821964740753174
Кочо Рацин,Балада за непознатиот,Зборови во загради,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.352213144302368
Кочо Рацин,Балада за непознатиот,Броеви,Дали авторот на овој пасус ја содржи особината броеви?[/INST],1.2551989555358887
Кочо Рацин,Балада за непознатиот,Издолжени зборови,"Авторот користи издолжени зборови во стихот 21, каде што зборот „долгоооо“ е продолжен за да се истакне неговата должина. Ова е еден од начините на кои авторот ја изразува својата поезија, со користење на невообичаени зборови и фрази за да го потенцира значењето на стихот.",4.4650444984436035
Гане Тодоровски,Молитва,Фигуративен јазик,"Активниот глас е кога подметот ја извршува дејството. На пример, „Јас ја напишав песната за еден час.“",1.933297872543335
Гане Тодоровски,Молитва,Сарказам,"Сарказам е изразување на спротивното од она што навистина се мисли, со цел иронија или потсмев.",1.7052702903747559
Гане Тодоровски,Молитва,Фрагмент од реченица,"Асистент за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.060318231582642
Гане Тодоровски,Молитва,Долга реченица (run-on),Долга реченица (run-on) – реченица составена од повеќе мисли без правилна интерпункција или сврзници.,1.7578191757202148
Гане Тодоровски,Молитва,Активен глас,Активен глас – конструкција во која подметот ја врши дејството (на пр. „Јас го пишувам писмото“).,1.8251421451568604
Гане Тодоровски,Молитва,Пасивен глас,"Ако е присутна, одговори со ДА и проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",1.9632296562194824
Гане Тодоровски,Молитва,Грешки во согласување,"Дали авторот на овој пасус ја содржи особината Грешки во согласување? Да. Оваа особина се однесува на грешки во согласувањето помеѓу подметот и прирокот во број, род или лице. Во овој пасус, авторот користи несоодветен род и број помеѓу подметот „молитва“ и прирокот „напишав“. На пример, подметот „молитва“ е женски род, но прирокот „напишав“ е еднина. Оваа грешка се нарекува несогласување помеѓу подметот и прирокот во родот.",7.1068501472473145
Гане Тодоровски,Молитва,Машки заменки,Дали авторот користи машки заменки?[/INST],0.8826014995574951
Гане Тодоровски,Молитва,Женски заменки,Стилот на овој пасус е македонска поезија. Тој содржи стилска одлика што се вика Женски заменки.,1.8461687564849854
Гане Тодоровски,Молитва,Просоцијално однесување,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3554959297180176
Гане Тодоровски,Молитва,Антисоцијално однесување,"Антисоцијално однесување – јазик кој покажува агресија, непочитување или отфрлање на норми.",1.8640425205230713
Гане Тодоровски,Молитва,Бидување љубезен,Дали авторот на овој пасус ја содржи особината Бидување љубезен?[/INST],1.4635403156280518
Гане Тодоровски,Молитва,Прикажување меѓучовечки конфликт,Активен глас е стил на пишување каде што подметот ја извршува дејството. Овој стил се користи за да се нагласи активноста на подметот и да се избегне негативната конотација поврзана со пасивниот глас.,3.1650173664093018
Гане Тодоровски,Молитва,Морализирање,"Ако е присутна, одговори со ДА и проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",1.9368641376495361
Гане Тодоровски,Молитва,Зборови за комуникација,"Во овој разговор, корисникот е заинтересиран да знае дали авторот на следниот пасус ја содржи оваа особина: Зборови за комуникација.",2.284548282623291
Гане Тодоровски,Молитва,Индикатори за моќ,"Дали присуствува оваа особина?[INST]Ако е присутна, одговори со ДА, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.[/INST]",2.560936212539673
Гане Тодоровски,Молитва,Говор за постигнување,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.304309368133545
Гане Тодоровски,Молитва,Индикација на сигурност,"Да, авторот ја користи оваа особина во пасусот. Ова е пример за тоа како се изразува оваа особина: „Јас ја напишав песната за еден час.“",2.355851650238037
Гане Тодоровски,Молитва,Бидување несигурен/колеблив,"Зборовите што изразуваат сомнеж, несигурност или условност се: „би“, „можеби“, „веројатно“, „вообичаено“ и слично.",2.2059240341186523
Гане Тодоровски,Молитва,Увид,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.347736120223999
Гане Тодоровски,Молитва,Сè или ништо размислување,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3499915599823
Гане Тодоровски,Молитва,Зборови поврзани со меморија,Зборови поврзани со меморија – зборови кои се однесуваат на сеќавање или минати искуства.,1.6906297206878662
Гане Тодоровски,Молитва,Позитивна емоција,"Одговори со Да или Не, во зависност од тоа дали присуството е присутно или не. Ако е присутно, додај ја дефиницијата и дај ја вашата оцена на присуството.",2.489906072616577
Гане Тодоровски,Молитва,Негативна емоција,"Ако присутна, одговор со ДА и образложение дека авторот користи сарказам во пасусот. Ако не е присутна, одговор со НЕ и ништо друго.",2.213347911834717
Гане Тодоровски,Молитва,Анксиозност,"Ако е присутна, одговори со ДА и проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",1.9414541721343994
Гане Тодоровски,Молитва,Лутинa,"Ако е присутна, одговор со ДА и образложение. Ако не е присутна, одговор само со НЕ и ништо друго.",1.7668604850769043
Гане Тодоровски,Молитва,Тага,"Особина: Тага – зборови што одразуваат жалост, депресија или меланхолија.",1.4934146404266357
Гане Тодоровски,Молитва,Пцовки,"[INST]Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.[/INST]",2.552522897720337
Гане Тодоровски,Молитва,Позитивен тон,Стил на пишување – Позитивен тон (0-1) – јазик кој создава пријатна и охрабрувачка атмосфера.,1.9064853191375732
Гане Тодоровски,Молитва,Негативен тон,Особина: Негативен тон,0.6699941158294678
Гане Тодоровски,Молитва,Неутрален тон,"Ако е присутна, одговори со ДА и образложи. Ако не е присутна, одговори само со НЕ.",1.5654096603393555
Гане Тодоровски,Молитва,Зборови поврзани со аудитивна перцепција,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3770484924316406
Гане Тодоровски,Молитва,Зборови поврзани со визуелна перцепција,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.715946435928345
Гане Тодоровски,Молитва,Зборови поврзани со просторна перцепција,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",3.1312859058380127
Гане Тодоровски,Молитва,Зборови поврзани со перцепција на движење,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",3.1340975761413574
Гане Тодоровски,Молитва,Зборови поврзани со внимание,"Ако е присутна, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.1528332233428955
Гане Тодоровски,Молитва,Зборови поврзани со привлечност,Дали авторот на овој пасус ја содржи оваа особина? Зборови поврзани со привлечност.,1.6377317905426025
Гане Тодоровски,Молитва,Зборови поврзани со љубопитност,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3569724559783936
Гане Тодоровски,Молитва,Зборови поврзани со ризик,Зборови поврзани со ризик – зборови што укажуваат на опасност или неизвесност.,1.5310373306274414
Гане Тодоровски,Молитва,Зборови поврзани со награда,Дали авторот на следниот пасус ја содржи оваа особина? Зборови поврзани со награда.,1.5685524940490723
Гане Тодоровски,Молитва,Зборови кои изразуваат потреби,Зборови кои изразуваат потреби – зборови кои опишуваат неопходни услови за преживување.,1.7254066467285156
Гане Тодоровски,Молитва,Зборови кои изразуваат желби,Зборови кои изразуваат желби – зборови кои укажуваат на лични стремежи или копнежи.,1.6738522052764893
Гане Тодоровски,Молитва,Зборови кои изразуваат стекнување,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.31429123878479
Гане Тодоровски,Молитва,Зборови кои изразуваат недостаток,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.6917033195495605
Гане Тодоровски,Молитва,Зборови кои изразуваат исполнување,Зборови кои изразуваат исполнување – зборови кои означуваат постигнување или задоволување.,1.7409093379974365
Гане Тодоровски,Молитва,Зборови кои изразуваат замор,Зборови кои изразуваат замор – зборови кои укажуваат на умор или исцрпеност.,1.4968438148498535
Гане Тодоровски,Молитва,Зборови кои изразуваат болест,Зборови кои изразуваат болест – зборови што означуваат физичка или психичка болест.,1.603559970855713
Гане Тодоровски,Молитва,Зборови кои изразуваат здравје,Зборови кои изразуваат здравје – зборови што означуваат благосостојба и виталност.,1.603142499923706
Гане Тодоровски,Молитва,Зборови поврзани со ментално здравје,"Активниот глас е кога подметот ја извршува дејството. На пример, „Тој го напишал расказот за еден час.“ Во овој пример, тој е подмет и го извршува дејството „напишал“.",2.927233934402466
Гане Тодоровски,Молитва,Зборови поврзани со храна или јадење,Зборови поврзани со храна или јадење – зборови што опишуваат исхрана или акти на јадење.,1.6718106269836426
Гане Тодоровски,Молитва,Зборови поврзани со смрт,"Почитуван корисник, овој пасус не е пример за стилот „Зборови поврзани со смрт“. Оваа особина се однесува на употребата на зборови што опишуваат умирање, крај или загуба.",2.904158592224121
Гане Тодоровски,Молитва,Зборови поврзани со самоповредување,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.694196462631226
Гане Тодоровски,Молитва,Сексуална содржина,Особина: Сексуална содржина – зборови што се однесуваат на секс или еротика.,1.5629165172576904
Гане Тодоровски,Молитва,Зборови поврзани со слободно време,Зборови поврзани со слободно време – зборови што опишуваат рекреација и хоби.,1.4334125518798828
Гане Тодоровски,Молитва,Зборови поврзани со дом,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.688169240951538
Гане Тодоровски,Молитва,Зборови поврзани со работа,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.351170778274536
Гане Тодоровски,Молитва,Зборови поврзани со пари,Зборови поврзани со пари – зборови што опишуваат финансии и економија.,1.3900904655456543
Гане Тодоровски,Молитва,Зборови поврзани со религија,Зборови поврзани со религија – зборови што опишуваат духовност и верски практики.,1.4970312118530273
Гане Тодоровски,Молитва,Зборови поврзани со политика,Зборови поврзани со политика – зборови што опишуваат власт и општествени односи.,1.4597549438476562
Гане Тодоровски,Молитва,Зборови поврзани со култура,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3579022884368896
Гане Тодоровски,Молитва,Странски зборови,"Асистент, дај одговор на прашањето од корисникот. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",3.864403247833252
Гане Тодоровски,Молитва,Научни зборови,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3517959117889404
Гане Тодоровски,Молитва,Сленг зборови,"Да, авторот користи сленг зборови во овој пасус. Сленг зборовите се неформални и разговорни изрази. Оваа особина е присутна од 0 до 1.",2.419363498687744
Гане Тодоровски,Молитва,Сленг од социјални мрежи,Сленг од социјални мрежи – современ интернет сленг и кратенки.,1.1860580444335938
Гане Тодоровски,Молитва,Зборови-полнители (filler words),"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.714495658874512
Гане Тодоровски,Молитва,Зборови фокусирани на минатото,Ви благодариме за вашиот одговор.,0.8117198944091797
Гане Тодоровски,Молитва,Зборови фокусирани на сегашноста,Особина: Сарказам,0.6050407886505127
Гане Тодоровски,Молитва,Зборови фокусирани на иднината,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3540916442871094
Гане Тодоровски,Молитва,Зборови поврзани со време,Стил македонска поезија – зборови поврзани со време. Авторот користи зборови што опишуваат периоди и траење.,1.9092893600463867
